,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,extraction_timestamp
0,"{'lat': 54.6779, 'lon': -5.9249}","[{'description': 'few clouds', 'icon': '02d', 'id': 801, 'main': 'Clouds'}]",stations,"{'feels_like': 284.51, 'grnd_level': 1003, 'humidity': 57, 'pressure': 1018, 'sea_level': 1018, 'temp': 285.71, 'temp_max': 286.3, 'temp_min': 284.89}",10000,"{'deg': 10, 'gust': None, 'speed': 7.2}",{'all': 20},1746271227,"{'country': 'GB', 'id': 1376, 'sunrise': 1746247216, 'sunset': 1746302444, 'type': 1}",3600,2641521,Newtownabbey,200,2025-05-03T11:23:10.100688
1,"{'lat': 52.6362, 'lon': -1.1332}","[{'description': 'few clouds', 'icon': '02d', 'id': 801, 'main': 'Clouds'}]",stations,"{'feels_like': 288.18, 'grnd_level': 1001, 'humidity': 65, 'pressure': 1014, 'sea_level': 1014, 'temp': 288.86, 'temp_max': 289.02, 'temp_min': 286.79}",10000,"{'deg': 358, 'gust': 6.3, 'speed': 4.69}",{'all': 14},1746271228,"{'country': 'GB', 'id': 2006356, 'sunrise': 1746246517, 'sunset': 1746300843, 'type': 2}",3600,2644668,Leicester,200,2025-05-03T11:23:10.100688
2,"{'lat': 51.4567, 'lon': -0.9697}","[{'description': 'overcast clouds', 'icon': '04d', 'id': 804, 'main': 'Clouds'}]",stations,"{'feels_like': 290.43, 'grnd_level': 1003, 'humidity': 57, 'pressure': 1013, 'sea_level': 1013, 'temp': 291.09, 'temp_max': 291.76, 'temp_min': 290.05}",10000,"{'deg': 330, 'gust': None, 'speed': 3.6}",{'all': 100},1746271228,"{'country': 'GB', 'id': 2009360, 'sunrise': 1746246716, 'sunset': 1746300566, 'type': 2}",3600,2639577,Reading,200,2025-05-03T11:23:10.100688
3,"{'lat': 54.1775, 'lon': -6.3375}","[{'description': 'broken clouds', 'icon': '04d', 'id': 803, 'main': 'Clouds'}]",stations,"{'feels_like': 286.75, 'grnd_level': 1005, 'humidity': 61, 'pressure': 1018, 'sea_level': 1018, 'temp': 287.65, 'temp_max': 287.65, 'temp_min': 287.65}",10000,"{'deg': 350, 'gust': 8.9, 'speed': 6.8}",{'all': 77},1746271228,"{'country': 'GB', 'id': 2010234, 'sunrise': 1746247430, 'sunset': 1746302429, 'type': 2}",3600,2641581,Newry,200,2025-05-03T11:23:10.100688
4,"{'lat': 51.4867, 'lon': 0.2433}","[{'description': 'broken clouds', 'icon': '04d', 'id': 803, 'main': 'Clouds'}]",stations,"{'feels_like': 291.74, 'grnd_level': 1009, 'humidity': 58, 'pressure': 1012, 'sea_level': 1012, 'temp': 292.26, 'temp_max': 293.72, 'temp_min': 291.16}",10000,"{'deg': 330, 'gust': None, 'speed': 3.09}",{'all': 75},1746271228,"{'country': 'GB', 'id': 2011528, 'sunrise': 1746246419, 'sunset': 1746300280, 'type': 2}",3600,2639845,Purfleet,200,2025-05-03T11:23:10.100688
5,"{'lat': 53.4072, 'lon': -2.9917}","[{'description': 'scattered clouds', 'icon': '03d', 'id': 802, 'main': 'Clouds'}]",stations,"{'feels_like': 285.6, 'grnd_level': 1013, 'humidity': 73, 'pressure': 1015, 'sea_level': 1015, 'temp': 286.32, 'temp_max': 286.98, 'temp_min': 285.83}",10000,"{'deg': 300, 'gust': 6.71, 'speed': 6.71}",{'all': 47},1746271228,"{'country': 'GB', 'id': 2101058, 'sunrise': 1746246798, 'sunset': 1746301454, 'type': 2}",3600,2644210,Liverpool,200,2025-05-03T11:23:10.100688
6,"{'lat': 53.3045, 'lon': -1.1028}","[{'description': 'broken clouds', 'icon': '04d', 'id': 803, 'main': 'Clouds'}]",stations,"{'feels_like': 286.55, 'grnd_level': 1006, 'humidity': 63, 'pressure': 1014, 'sea_level': 1014, 'temp': 287.42, 'temp_max': 287.43, 'temp_min': 287.18}",10000,"{'deg': 7, 'gust': 7.53, 'speed': 6.14}",{'all': 51},1746271228,"{'country': 'GB', 'id': 2098670, 'sunrise': 1746246368, 'sunset': 1746300978, 'type': 2}",3600,2633551,Worksop,200,2025-05-03T11:23:10.100688
7,"{'lat': 55.9007, 'lon': -3.5181}","[{'description': 'scattered clouds', 'icon': '03d', 'id': 802, 'main': 'Clouds'}]",stations,"{'feels_like': 283.93, 'grnd_level': 997, 'humidity': 52, 'pressure': 1016, 'sea_level': 1016, 'temp': 285.3, 'temp_max': 286.95, 'temp_min': 284.68}",10000,"{'deg': 0, 'gust': None, 'speed': 2.06}",{'all': 40},1746271228,"{'country': 'GB', 'id': 1442, 'sunrise': 1746246344, 'sunset': 1746302161, 'type': 1}",3600,2644204,Livingston,200,2025-05-03T11:23:10.100688
8,"{'lat': 53.5228, 'lon': -1.1335}","[{'description': 'broken clouds', 'icon': '04d', 'id': 803, 'main': 'Clouds'}]",stations,"{'feels_like': 286.71, 'grnd_level': 1010, 'humidity': 65, 'pressure': 1014, 'sea_level': 1014, 'temp': 287.52, 'temp_max': 287.52, 'temp_min': 287.52}",10000,"{'deg': 28, 'gust': 4.47, 'speed': 2.68}",{'all': 52},1746271228,"{'country': 'GB', 'id': 2031643, 'sunrise': 1746246328, 'sunset': 1746301032, 'type': 2}",3600,2651123,Doncaster,200,2025-05-03T11:23:10.100688
9,"{'lat': 52.8027, 'lon': -1.6299}","[{'description': 'scattered clouds', 'icon': '03d', 'id': 802, 'main': 'Clouds'}]",stations,"{'feels_like': 286.59, 'grnd_level': 1003, 'humidity': 60, 'pressure': 1014, 'sea_level': 1014, 'temp': 287.53, 'temp_max': 289.1, 'temp_min': 286.38}",10000,"{'deg': 348, 'gust': 7.09, 'speed': 5.66}",{'all': 37},1746271228,"{'country': 'GB', 'id': 2041819, 'sunrise': 1746246601, 'sunset': 1746300998, 'type': 2}",3600,2654200,Burton-on-Trent,200,2025-05-03T11:23:10.100688
